iter	Passed	Remaining
0	0	30
1	0	28
2	0	29
3	1	27
4	1	26
5	1	26
6	1	26
7	2	27
8	2	26
9	2	26
10	3	26
11	3	26
12	3	26
13	4	26
14	4	26
15	4	25
16	5	25
17	5	25
18	5	24
19	6	24
20	6	24
21	6	24
22	7	24
23	7	23
24	7	23
25	8	23
26	8	23
27	8	22
28	9	22
29	9	22
30	9	22
31	10	21
32	10	21
33	11	21
34	11	21
35	12	21
36	12	21
37	12	20
38	13	20
39	13	20
40	14	20
41	14	19
42	14	19
43	15	19
44	15	18
45	15	18
46	16	18
47	16	18
48	17	18
49	17	17
50	18	17
51	18	17
52	18	16
53	19	16
54	19	16
55	20	15
56	20	15
57	20	15
58	21	14
59	21	14
60	21	14
61	22	13
62	22	13
63	23	13
64	23	12
65	24	12
66	24	12
67	25	11
68	25	11
69	25	11
70	26	10
71	26	10
72	27	9
73	27	9
74	27	9
75	28	8
76	28	8
77	28	8
78	29	7
79	29	7
80	30	7
81	30	6
82	31	6
83	31	6
84	32	5
85	32	5
86	32	4
87	33	4
88	33	4
89	34	3
90	34	3
91	35	3
92	35	2
93	36	2
94	36	1
95	36	1
96	37	1
97	38	0
98	38	0
99	38	0
